season,week,game_id,matchup,market,selection,line,price,model_prob,ev,stake_pct,result,profit,confidence
2015,2,2015_02_ATL_NYG,ATL @ NYG,TOTAL,under,49.5,1.9346,0.54755,5.93,1,win,0.9346000000000001,0.4551
2015,2,2015_02_SF_PIT,SF @ PIT,TOTAL,over,46.0,1.9524,0.545,6.41,1,win,0.9523999999999999,0.4551
2015,2,2015_02_MIA_JAX,MIA @ JAX,TOTAL,under,42.5,1.9524,0.53087,3.65,1,lose,-1,0.4551
2015,3,2015_03_SD_MIN,SD @ MIN,SPREAD,SD,2.5,1.9091,0.553574,5.68,1,lose,-1,0.3526
2015,3,2015_03_SD_MIN,SD @ MIN,TOTAL,under,45.5,1.9524,0.545,6.41,1,win,0.9523999999999999,0.3526
2015,3,2015_03_CHI_SEA,CHI @ SEA,SPREAD,CHI,16.5,1.9091,0.552934,5.56,1,lose,-1,0.3351
2015,3,2015_03_CHI_SEA,CHI @ SEA,TOTAL,under,43.5,1.9709,0.53174,4.8,1,win,0.9709000000000001,0.3351
2015,4,2015_04_NYG_BUF,NYG @ BUF,SPREAD,NYG,6.0,1.9524,0.53832,5.1,1,win,0.9523999999999999,0.4551
2015,4,2015_04_OAK_CHI,OAK @ CHI,TOTAL,under,44.5,2.01,0.537316,8.0,1,win,1.0099999999999998,0.3526
2015,4,2015_04_PHI_WAS,PHI @ WAS,SPREAD,WAS,3.0,1.885,0.556705,4.94,1,win,0.885,0.4551
2015,4,2015_04_MIN_DEN,MIN @ DEN,TOTAL,under,43.5,1.9804,0.54116,7.17,1,win,0.9803999999999999,0.4551
2015,4,2015_04_GB_SF,GB @ SF,SPREAD,SF,7.5,1.885,0.550705,3.81,1,lose,-1,0.4551
2015,4,2015_04_GB_SF,GB @ SF,TOTAL,over,48.0,1.9346,0.54755,5.93,1,lose,-1,0.4551
2015,5,2015_05_IND_HOU,IND @ HOU,SPREAD,IND,4.5,1.9009,0.538862,2.43,1,win,0.9009,0.61
2015,5,2015_05_CLE_BAL,CLE @ BAL,SPREAD,CLE,6.0,2.0,0.530226,6.05,1,win,1.0,0.5551
2015,5,2015_05_SEA_CIN,SEA @ CIN,SPREAD,CIN,-3.0,1.9901,0.533514,6.17,1,null,0.0,0.5551
