comp,season,date,match,market,selection,line,price,model_prob,market_prob,ev,result,profit,confidence,odds_source
epl,2021,2021-10-02,Norwich @ Burnley,1X2,burnley,,1.99,0.5685,0.5025,5.91,lose,-1.0,0.334,pinnacle
epl,2021,2021-10-02,Norwich @ Burnley,TOTAL,under,2.5,1.97,0.5509,0.5076,3.84,win,0.97,0.334,pinnacle
epl,2021,2021-10-02,Watford @ Leeds,1X2,watford,,4.74,0.3498,0.211,29.61,lose,-1.0,0.334,pinnacle
epl,2021,2021-10-02,Newcastle @ Wolves,1X2,draw,,3.72,0.2945,0.2688,4.3,lose,-1.0,0.364,pinnacle
epl,2021,2021-10-02,Newcastle @ Wolves,TOTAL,under,2.5,1.92,0.6351,0.5208,9.87,lose,-1.0,0.364,pinnacle
epl,2021,2021-10-03,Leicester @ Crystal Palace,1X2,crystal palace,,2.87,0.4591,0.3484,14.29,lose,-1.0,0.364,pinnacle
epl,2021,2021-10-03,Aston Villa @ Tottenham,1X2,aston villa,,3.74,0.3946,0.2674,21.41,lose,-1.0,0.364,pinnacle
epl,2021,2021-10-03,Aston Villa @ Tottenham,TOTAL,under,2.5,1.98,0.5875,0.5051,7.35,lose,-1.0,0.364,pinnacle
epl,2021,2021-10-03,Brentford @ West Ham,1X2,brentford,,5.13,0.2603,0.1949,15.1,win,4.13,0.334,pinnacle
epl,2021,2021-10-03,Man City @ Liverpool,1X2,liverpool,,3.12,0.3837,0.3205,8.87,lose,-1.0,0.364,pinnacle
epl,2021,2021-10-03,Man City @ Liverpool,1X2,draw,,3.54,0.3171,0.2825,5.51,win,2.54,0.364,pinnacle
epl,2021,2021-10-16,Liverpool @ Watford,1X2,draw,,5.68,0.252,0.1761,19.41,lose,-1.0,0.364,pinnacle
epl,2021,2021-10-16,Liverpool @ Watford,TOTAL,under,2.5,2.5,0.4877,0.4,9.87,lose,-1.0,0.364,pinnacle
epl,2021,2021-10-16,Wolves @ Aston Villa,TOTAL,under,2.5,1.77,0.6593,0.565,7.51,lose,-1.0,0.364,pinnacle
epl,2021,2021-10-16,Brighton @ Norwich,1X2,draw,,3.69,0.2963,0.271,4.2,win,2.69,0.334,pinnacle
epl,2021,2021-10-16,Brighton @ Norwich,TOTAL,under,2.5,1.74,0.6922,0.5747,9.2,win,0.74,0.334,pinnacle
epl,2021,2021-10-16,Leeds @ Southampton,TOTAL,under,2.5,2.19,0.5665,0.4566,10.83,win,1.19,0.334,pinnacle
epl,2021,2021-10-16,Chelsea @ Brentford,1X2,brentford,,5.64,0.2432,0.1773,16.72,lose,-1.0,0.334,pinnacle
epl,2021,2021-10-16,Chelsea @ Brentford,1X2,draw,,3.87,0.3186,0.2584,10.49,lose,-1.0,0.334,pinnacle
