comp,season,date,match,market,selection,line,price,model_prob,market_prob,ev,result,profit,confidence,odds_source,passed_filter
ligamx,2021,2021-08-28,Queretaro @ Puebla,1X2,puebla,,2.17,0.3609,0.4608,-9.76,win,1.17,0.34,market_avg,False
ligamx,2021,2021-08-28,Queretaro @ Puebla,1X2,draw,,3.13,0.3697,0.3195,7.07,lose,-1.0,0.34,market_avg,True
ligamx,2021,2021-08-28,Queretaro @ Puebla,1X2,queretaro,,3.49,0.2694,0.2865,-2.69,lose,-1.0,0.34,market_avg,False
ligamx,2021,2021-08-28,Monterrey @ Club Tijuana,1X2,tijuana,,3.97,0.1791,0.2519,-13.01,lose,-1.0,0.34,market_avg,False
ligamx,2021,2021-08-28,Monterrey @ Club Tijuana,1X2,draw,,3.28,0.2868,0.3049,-2.67,win,2.28,0.34,market_avg,False
ligamx,2021,2021-08-28,Monterrey @ Club Tijuana,1X2,monterrey,,1.96,0.5342,0.5102,2.11,lose,-1.0,0.34,market_avg,False
ligamx,2021,2021-08-28,Necaxa @ Guadalajara Chivas,1X2,guadalajara chivas,,2.01,0.3096,0.4975,-17.0,win,1.0099999999999998,0.34,market_avg,False
ligamx,2021,2021-08-28,Necaxa @ Guadalajara Chivas,1X2,draw,,3.25,0.3005,0.3077,-1.05,lose,-1.0,0.34,market_avg,False
ligamx,2021,2021-08-28,Necaxa @ Guadalajara Chivas,1X2,necaxa,,3.82,0.3899,0.2618,22.02,lose,-1.0,0.34,market_avg,True
ligamx,2021,2021-08-29,Atlas @ Tigres UANL,1X2,tigres uanl,,2.48,0.3108,0.4032,-10.31,lose,-1.0,0.34,market_avg,False
ligamx,2021,2021-08-29,Atlas @ Tigres UANL,1X2,draw,,2.96,0.3689,0.3378,4.14,win,1.96,0.34,market_avg,True
ligamx,2021,2021-08-29,Atlas @ Tigres UANL,1X2,atlas,,3.06,0.3202,0.3268,-0.9,lose,-1.0,0.34,market_avg,False
ligamx,2021,2021-08-29,Club America @ Club Leon,1X2,leon,,2.47,0.2261,0.4049,-19.87,lose,-1.0,0.34,market_avg,False
ligamx,2021,2021-08-29,Club America @ Club Leon,1X2,draw,,3.26,0.3201,0.3067,1.96,win,2.26,0.34,market_avg,False
ligamx,2021,2021-08-29,Club America @ Club Leon,1X2,america,,2.81,0.4538,0.3559,12.38,lose,-1.0,0.34,market_avg,True
ligamx,2021,2021-08-29,UNAM Pumas @ Toluca,1X2,toluca,,1.78,0.5478,0.5618,-1.12,win,0.78,0.34,market_avg,False
ligamx,2021,2021-08-29,UNAM Pumas @ Toluca,1X2,draw,,3.65,0.2623,0.274,-1.92,lose,-1.0,0.34,market_avg,False
ligamx,2021,2021-08-29,UNAM Pumas @ Toluca,1X2,unam pumas,,4.32,0.1899,0.2315,-8.08,lose,-1.0,0.34,market_avg,False
ligamx,2021,2021-08-30,Juarez @ Santos Laguna,1X2,santos laguna,,1.45,0.5642,0.6897,-8.19,win,0.44999999999999996,0.34,market_avg,False
ligamx,2021,2021-08-30,Juarez @ Santos Laguna,1X2,draw,,4.34,0.2722,0.2304,8.16,lose,-1.0,0.34,market_avg,True
ligamx,2021,2021-08-30,Juarez @ Santos Laguna,1X2,juarez,,6.75,0.1636,0.1481,4.69,lose,-1.0,0.34,market_avg,False
